SCENE_ID,PRODUCT_ID,SPACECRAFT_ID,SENSOR_ID,DATE_ACQUIRED,COLLECTION_NUMBER,COLLECTION_CATEGORY,SENSING_TIME,DATA_TYPE,WRS_PATH,WRS_ROW,CLOUD_COVER,NORTH_LAT,SOUTH_LAT,WEST_LON,EAST_LON,TOTAL_SIZE,BASE_URL
LC80150542014290LGN01,LC08_L1TP_015054_20141017_20170303_01_T1,LANDSAT_8,OLI_TIRS,2014-10-17,01,T1,2014-10-17T15:55:03.0732410Z,L1TP,15,54,82.86,9.72564,7.61911,-85.39452,-83.32299,913293893,gs://gcp-public-data-landsat/LC08/01/015/054/LC08_L1TP_015054_20141017_20170303_01_T1
LT50150531998134CPE00,LT05_L1TP_015053_19980514_20161224_01_T1,LANDSAT_5,TM,1998-05-14,01,T1,1998-05-14T15:31:50.7720060Z,L1TP,15,53,47.0,11.05555,9.15083,-85.08522,-82.95393,171211504,gs://gcp-public-data-landsat/LT05/01/015/053/LT05_L1TP_015053_19980514_20161224_01_T1
LE70140542011075ASN00,,LANDSAT_7,ETM,2011-03-16,PRE,N/A,2011-03-16T15:42:11.6966985Z,L1T,14,54,12.0,9.631,7.73326,-83.9153,-81.72549,213333528,gs://gcp-public-data-landsat/LE07/PRE/014/054/LE70140542011075ASN00
LT50140541991092CPE00,,LANDSAT_5,TM,1991-04-02,PRE,N/A,1991-04-02T15:10:16.9250380Z,L1T,14,54,19.0,9.6309,7.72795,-83.89892,-81.76901,137462902,gs://gcp-public-data-landsat/LT05/PRE/014/054/LT50140541991092CPE00
LE70140532006253EDC00,LE07_L1TP_014053_20060910_20170107_01_T1,LANDSAT_7,ETM,2006-09-10,01,T1,2006-09-10T15:37:48.1286639Z,L1TP,14,53,61.0,11.08845,9.1665,-83.62424,-81.46877,173632963,gs://gcp-public-data-landsat/LE07/01/014/053/LE07_L1TP_014053_20060910_20170107_01_T1
LC80150532017362LGN00,LC08_L1TP_015053_20171228_20180103_01_T1,LANDSAT_8,OLI_TIRS,2017-12-28,01,T1,2017-12-28T15:54:35.2663050Z,L1TP,15,53,46.28,11.1722,9.06487,-85.09387,-83.01262,1028047557,gs://gcp-public-data-landsat/LC08/01/015/053/LC08_L1TP_015053_20171228_20180103_01_T1
LE70160531999328EDC00,,LANDSAT_7,ETM,1999-11-24,PRE,N/A,1999-11-24T15:53:21.5679638Z,L1T,16,53,24.0,11.07234,9.18109,-86.66047,-84.525,238279355,gs://gcp-public-data-landsat/LE07/PRE/016/053/LE70160531999328EDC00
LE70140532011075ASN00,,LANDSAT_7,ETM,2011-03-16,PRE,N/A,2011-03-16T15:41:47.7900447Z,L1T,14,53,16.0,11.0777,9.17209,-83.59944,-81.40051,187042282,gs://gcp-public-data-landsat/LE07/PRE/014/053/LE70140532011075ASN00
LE70140532018254EDC00,LE07_L1TP_014053_20180911_20180911_01_RT,LANDSAT_7,ETM,2018-09-11,01,RT,2018-09-11T15:46:14.0838922Z,L1TP,14,53,42.0,11.08041,9.16923,-83.62142,-81.39778,196643797,gs://gcp-public-data-landsat/LE07/01/014/053/LE07_L1TP_014053_20180911_20180911_01_RT
LE70160522014001EDC00,LE07_L1TP_016052_20140101_20161118_01_T1,LANDSAT_7,ETM,2014-01-01,01,T1,2014-01-01T15:56:38.2681643Z,L1TP,16,52,43.0,12.5179,10.62866,-86.39018,-84.1838,228403876,gs://gcp-public-data-landsat/LE07/01/016/052/LE07_L1TP_016052_20140101_20161118_01_T1
LC80150532017186LGN00,LC08_L1TP_015053_20170705_20170716_01_T1,LANDSAT_8,OLI_TIRS,2017-07-05,01,T1,2017-07-05T15:54:12.4574170Z,L1TP,15,53,81.86,11.17206,9.0646,-85.07204,-82.98795,967121586,gs://gcp-public-data-landsat/LC08/01/015/053/LC08_L1TP_015053_20170705_20170716_01_T1
LE70140532017299EDC00,LE07_L1GT_014053_20171026_20171027_01_RT,LANDSAT_7,ETM,2017-10-26,01,RT,2017-10-26T15:50:52.5568020Z,L1GT,14,53,75.0,11.08034,9.17158,-83.67081,-81.44966,156966907,gs://gcp-public-data-landsat/LE07/01/014/053/LE07_L1GT_014053_20171026_20171027_01_RT
LC80140532019057LGN00,LC08_L1GT_014053_20190226_20190226_01_RT,LANDSAT_8,OLI_TIRS,2019-02-26,01,RT,2019-02-26T15:47:55.8907020Z,L1GT,14,53,48.89,11.17532,9.05874,-83.52894,-81.43587,972900754,gs://gcp-public-data-landsat/LC08/01/014/053/LC08_L1GT_014053_20190226_20190226_01_RT
